level_2_name,level_3_name,level_4_name,level_5_name,level_2_example_attr,level_3_another_attr
KASAI CENTRAL,BUNKONDE,NGOMBE,NGOMBE CENTRE DE SANTE,example,another_example
SUD UBANGI,BANGABOLA,MONYONGO,MONYONGO CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,KASUNGESHI 1,KASUNGESHI 1 CENTRE DE SANTE,example,another_example
KINSHASA,MALUKU 1,MENKAO,MENKAO CENTRE DE SANTE,example,another_example
TSHOPO,KABONDO,UMOJA,UMOJA CENTRE DE SANTE,example,another_example
KINSHASA,KINTAMBO,LUBUDI NGANDA,DOCTEUR MASENA CENTRE DE SANTE,example,another_example
TSHOPO,UBUNDU,BANDU,BANDU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KITENGE,KASHUKULU,KASHUKULU CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAPOLOWE,KAPOLOWE GARE,SHINANGWA POSTE DE SANTE,example,another_example
LOMAMI,MWENEDITU,MUSAULA,MUSAULA CENTRE DE SANTE,example,another_example
KINSHASA,BARUMBU,TSHIMANGA,EDEN CLINIC CENTRE DE SANTE,example,another_example
NORD UBANGI,KARAWA,BOTDANGO,BOTDANGO CENTRE DE SANTE,example,another_example
KWILU,VANGA,KIPWALA,KIPWALA CENTRE DE SANTE,example,another_example
NORD KIVU,GOMA,CCLK,CCLK POSTE DE SANTE,example,another_example
NORD KIVU,BINZA,NYAKAKOMA,NYAKAKOMA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KIMPESE,MUKIMBUNGU,MUKIMBUNGU CENTRE DE SANTE,example,another_example
KWANGO,KENGE,MISELE,MISELE CENTRE DE SANTE DE REFERENCE,example,another_example
KWILU,MASI MANIMBA,KINZENGA,KINZENGA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KINKONZI,KITSAKU,KITSAKU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KABONGO,NGONZO,NGONZO CENTRE DE SANTE,example,another_example
SUD KIVU,KATANA,KATANA NURU,KATANA NURU CENTRE DE SANTE,example,another_example
HAUT UELE,FARADJE,CECA 20 FARADJE,CECA 20 FARADJE CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KINKONDJA,MANGI 2,MANGI 2 CENTRE DE SANTE,example,another_example
LOMAMI,MULUMBA,TSHILEU,TSHILEU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KABONDO DIANDA,KAKOMA,KAKOMA CENTRE DE SANTE,example,another_example
LUALABA,KAPANGA,NSWAN MULAPU,NSWAN MULAPU CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,TSHILENGE,KAMPACI,KAMPACI CENTRE DE SANTE,example,another_example
SUD UBANGI,TANDALA,BONDUMA,BONDUMA CENTRE DE SANTE,example,another_example
KWILU,MUKEDI,KAHUNGU,KAHUNGU CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,BIPEMBA,LUBUBUE,MEDA CENTRE DE SANTE,example,another_example
MAINDOMBE,BOSOBE,BOSOBE,BOSOBE CENTRE DE SANTE,example,another_example
MANIEMA,LUBUTU,KATINGA,KATINGA CENTRE DE SANTE,example,another_example
SUD UBANGI,KUNGU,BOSO MOKANZA,BOSO MOKANZA CENTRE DE SANTE,example,another_example
NORD KIVU,KATWA,WANAMAHIKA,WANAMAHIKA CENTRE DE SANTE,example,another_example
KWANGO,KAHEMBA,KABONGO,KABONGO CENTRE DE SANTE,example,another_example
TSHUAPA,DJOLU,YOFILI,YOFILI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,MALEMBA NKULU,SOPE,SOPE CENTRE DE SANTE,example,another_example
SANKURU,KATAKO KOMBE,LONGALA,LONGALA CENTRE DE SANTE,example,another_example
SUD UBANGI,BOTO,ISABE,ISABE CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,MITWABA,MAKANDA CENTRE DE SANTE,example,another_example
NORD KIVU,KIBIRIZI,NYANZALE,NYANZALE CENTRE DE SANTE,example,another_example
BAS UELE,BUTA,MALIKUTA,MALIKUTA CENTRE DE SANTE,example,another_example
ITURI,BOGA,BIKIMA,BIKIMA CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,MIABI,BENA LUBASHI,BENA LUBASHI CENTRE DE SANTE,example,another_example
BAS UELE,AKETI,BONDUNGA,BONDUNGA CENTRE DE SANTE,example,another_example
NORD KIVU,WALIKALE,8EME CEPAC,8EME CEPAC CENTRE DE SANTE,example,another_example
LUALABA,KASAJI,LUNGENDA,LUNGENDA CENTRE DE SANTE,example,another_example
MAINDOMBE,BOLOBO,NDWA BATENDE,NDWA BATENDE CENTRE DE SANTE,example,another_example
KINSHASA,KALAMU 1,KIMBANGU 1,ESPERANCE CENTRE MEDICAL,example,another_example
KASAI,LUEBO,LUMPEMBE,LUMPEMBE CENTRE DE SANTE,example,another_example
HAUT LOMAMI,MUKANGA,KASENGA 2,KASENGA 2 CENTRE DE SANTE,example,another_example
TSHUAPA,IKELA,YOLONGA,YOLONGA  CENTRE DE SANTE,example,another_example
LUALABA,KANZENZE,TSHAMUNDENDA 1,PROMESSE CENTRE DE SANTE,example,another_example
SUD UBANGI,NDAGE,CITE MALUBA,CITE MALUBA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,LUOZI,LUOZI,LUOZI CENTRE DE SANTE,example,another_example
BAS UELE,MONGA,BELA,BELLA CENTRE DE SANTE,example,another_example
NORD KIVU,MASEREKA,KITEMBE,KITEMBE CENTRE DE SANTE,example,another_example
MAINDOMBE,KIRI,NKOTO,NKOTO CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAMBOVE,MULUNGWISHI,MULUNGWISHI CENTRE DE SANTE,example,another_example
SANKURU,VANGA KETE,TOKAMBA,TOKAMBA CENTRE DE SANTE,example,another_example
TSHOPO,YAKUSU,YANONGE,YANONGE CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI CENTRAL,BENA TSHADI,BISABI,BISABI CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,MUKUADJANGA,MUKUADJANGA CENTRE DE SANTE,example,another_example
KINSHASA,NDJILI,QUARTIER 1,LUKUNGA CENTRE DE SANTE,example,another_example
TANGANYIKA,MBULULA,KAYENGE,KAYENGE CENTRE DE SANTE,example,another_example
KINSHASA,BARUMBU,KAPINGA,BANNIERE CENTRE DE SANTE,example,another_example
TANGANYIKA,NYEMBA,KAZUMBA,KAZUMBA CENTRE DE SANTE,example,another_example
NORD KIVU,RUTSHURU,UMOJA,UMOJA CENTRE DE SANTE,example,another_example
MONGALA,BINGA,AKULA,AKULA CENTRE DE SANTE,example,another_example
KINSHASA,NDJILI,QUARTIER 8,ETAT CENTRE DE SANTE DE REFERENCE,example,another_example
SUD UBANGI,KUNGU,LIBOKO,LIBOKO CENTRE DE SANTE,example,another_example
HAUT KATANGA,KASENGA,NKAMBO,NKAMBO CENTRE DE SANTE,example,another_example
TSHOPO,YAHISULI,EKONDI,EKONDI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,BUKAMA,KABWE,KABWE CENTRE DE SANTE,example,another_example
KASAI,KAMWESHA,TSHIELA MATA,TSHIELA MATA CENTRE DE SANTE,example,another_example
SUD KIVU,MINEMBWE,KAKENGE,KAKENGE CENTRE DE SANTE,example,another_example
MAINDOMBE,BOKORO,BOKORO,BOKORO CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KISANTU,GARE,GARE CENTRE DE SANTE,example,another_example
KWILU,MOSANGO,MOSANGO,CAMP POMPE CENTRE DE SANTE,example,another_example
LUALABA,KAFAKUMBA,DIYAMBA 1,DIYAMBA 1 CENTRE DE SANTE,example,another_example
TSHOPO,BENGAMISA,BAWI,BAWI CENTRE DE SANTE,example,another_example
KASAI,TSHIKAPA,PAIX,LUEZI CENTRE DE SANTE,example,another_example
SUD KIVU,MUBUMBANO,IBULA,IBULA CENTRE DE SANTE,example,another_example
SUD KIVU,MWENGA,KALOLE,KALOLE CENTRE DE SANTE,example,another_example
MONGALA,BINGA,MALUNZA,MALUNZA BOSOSOME CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAMPEMBA,KAMASAKA,ELIZABETH CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,NKONGA,WATUMPEMPE CENTRE DE SANTE,example,another_example
KASAI CENTRAL,TSHIBALA,MUAMONO,MUAMONA CENTRE DE SANTE,example,another_example
SANKURU,LOMELA,ALANGA,ALANGA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KIPUSHI,LUMATA,LUMATA SNCC CENTRE DE SANTE,example,another_example
KINSHASA,BINZA METEO,BINZA PIGEON,MATERNITE BINZA CENTRE DE SANTE,example,another_example
KINSHASA,SELEMBAO,NKOMBE,ELONGA CENTRE DE SANTE,example,another_example
BAS UELE,GANGA,BAMBESA,BAMBESA CENTRE DE SANTE DE REFERENCE,example,another_example
LUALABA,KAPANGA,CHIBABA,CHIBABA CENTRE DE SANTE,example,another_example
SUD KIVU,NYANTENDE,ISHUNGU,ISHUNGU CENTRE DE SANTE,example,another_example
KWANGO,KITENDA,FWANGONGO,FWANGONGO CENTRE DE SANTE DE REFERENCE,example,another_example
MANIEMA,ALUNGULI,MIZEITUNI,MIZEITUNI CENTRE DE SANTE,example,another_example
NORD KIVU,KAYNA,KAMANDI,KAMANDI CENTRE DE SANTE,example,another_example
KASAI CENTRAL,LUIZA,MUKUADJANGA,MUKUADJANGA CENTRE DE SANTE,example,another_example
MANIEMA,LUBUTU,MUNGELE,MUNGELE CENTRE DE SANTE,example,another_example
MONGALA,BOSO MONDANDA,LIKPANDA,LIKPANDA CENTRE DE SANTE,example,another_example
SUD UBANGI,BANGABOLA,ENGBONDA,ENGBONDA CENTRE DE SANTE,example,another_example
LUALABA,MANIKA,ROCHER,LE ROCHER CENTRE DE SANTE,example,another_example
TSHUAPA,YALIFAFU,EKOMBE NKONE 2,EKOMBE 2 CENTRE DE SANTE,example,another_example
EQUATEURS,BOLOMBA,BOLOMBA,BOLOMBA LIKOLO CENTRE DE SANTE,example,another_example
MONGALA,BUMBA,LITAMBALA,LITAMBALA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KIZU,MIMVANZA 2,MIMVANZA 2 CENTRE DE SANTE,example,another_example
HAUT KATANGA,RUASHI,POTAGER,BIENVENUE CENTRE DE SANTE,example,another_example
SUD UBANGI,MAWUYA,IZATO,IZATO CENTRE DE SANTE,example,another_example
MAINDOMBE,NTANDEMBELO,LONIO 1,LONIO 1 CENTRE DE SANTE DE REFERENCE,example,another_example
KINSHASA,LEMBA,MADRANDELE,LEMBA CENTRE DE SANTE,example,another_example
SUD UBANGI,BOGOSENUBEA,BOYAWAZA,BOYAWAZA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KILWA,MUBANGA,MUBANGA CENTRE DE SANTE,example,another_example
KASAI CENTRAL,MASUIKA,KAPASI,KAPASI CENTRE DE SANTE,example,another_example
MAINDOMBE,NTANDEMBELO,MIPALE,MIPALE CENTRE DE SANTE,example,another_example
SUD UBANGI,KUNGU,MONYA,MONYA CENTRE DE SANTE,example,another_example
NORD KIVU,BUTEMBO,VULINDI,VULINDI CENTRE DE SANTE,example,another_example
ITURI,RIMBA,VIDA,VIDA CENTRE DE SANTE,example,another_example
SUD KIVU,MINOVA,KARANGO,KARANGO CENTRE DE SANTE,example,another_example
HAUT KATANGA,RUASHI,KAMASAKA,GABRIELLA CENTRE DE SANTE,example,another_example
NORD KIVU,RWANGUBA,BUNAGANA,BUNAGANA CENTRE DE SANTE,example,another_example
ITURI,MAHAGI,PAROMBO,PAROMBO CENTRE DE SANTE,example,another_example
TSHOPO,BENGAMISA,ABULAKAMA,ABULAKAMA CENTRE DE SANTE,example,another_example
LUALABA,SANDOA,KABAJI,KABAJI CENTRE DE SANTE,example,another_example
HAUT KATANGA,MUFUNGA SAMPWE,KAPOYA,KAPOYA CENTRE DE SANTE,example,another_example
KASAI,BANGA LUBAKA,MAYAMBA,MAYAMBA CENTRE DE SANTE,example,another_example
MANIEMA,KASONGO,KM 18,KM 18 CENTRE DE SANTE,example,another_example
KWILU,IDIOFA,YASSA LOKWA,YASSA LOKWA CENTRE DE SANTE,example,another_example
KASAI,KAMWESHA,KATUMBA,NKUNA EJIKE POSTE DE SANTE,example,another_example
SUD UBANGI,BOTO,BOYAZALA,BOYAZALA CENTRE DE SANTE,example,another_example
SUD UBANGI,BWAMANDA,BOWAKARA,BOWAKARA CENTRE DE SANTE,example,another_example
HAUT LOMAMI,SONGA,NGOY AILUNGA,NGOY A ILUNGA CENTRE DE SANTE,example,another_example
HAUT KATANGA,KASENGA,MINE D'OR,MINE D'OR CENTRE DE SANTE,example,another_example
TANGANYIKA,ANKORO,KYALA,KYALA CENTRE DE SANTE,example,another_example
TANGANYIKA,KONGOLO,MASAMBI,MASAMBI CENTRE DE SANTE,example,another_example
MAINDOMBE,BOSOBE,MPANDA LUKENI,MPANDA LUKENI CENTRE DE SANTE,example,another_example
KINSHASA,MONT NGAFULA 2,MATOKAMA,IMMA CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,EANDJA NSAMBA,EANDJA NSAMBA CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,KASANSA,DINSANGA,DINSANGA CENTRE DE SANTE,example,another_example
EQUATEURS,BOLOMBA,BOSOSEMODJA,BOSOSEMODJA CENTRE DE SANTE,example,another_example
TSHOPO,MAKISO KISANGANI,BANDUKU,MOKOTE POSTE DE SANTE,example,another_example
TSHUAPA,BUSANGA,LOKATA,LOKATA CENTRE DE SANTE,example,another_example
ITURI,ADI,DROBUKOLO,DROBUKOLO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,MUKUMBI,KAMANYENGA,KAMANYENGA CENTRE DE SANTE,example,another_example
SANKURU,WEMBO NYAMA,VANGASHILO,VANGA SHILO CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,LUBILANJI,DIKONGAYI,ROGEPHAR CENTRE DE SANTE,example,another_example
KASAI,MWEKA,BUNGAMBA,BUNGAMBA CENTRE DE SANTE DE REFERENCE,example,another_example
BAS UELE,BONDO,TOMIBIKISA,TOMIBIKISA CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KANIAMA,KAPATA,KAPATA CENTRE DE SANTE,example,another_example
KWANGO,KAJIJI,MWENDJILA,MWENDJILA CENTRE DE SANTE,example,another_example
HAUT UELE,MAKORO,BOVI,BOVI CENTRE DE SANTE,example,another_example
KONGO CENTRAL,MBANZA NGUNGU,NSONA NKULU,NSONA NKULU CENTRE DE SANTE,example,another_example
TSHUAPA,MONKOTO,EMENGEYE,INGUNDU  CENTRE DE SANTE,example,another_example
KINSHASA,MASINA 1,TSHIANGU,FUNZI CENTRE DE SANTE,example,another_example
KINSHASA,KIMBANSEKE,KUTU,KIMBANGUISTE MISSION KM CENTRE DE SANTE,example,another_example
KASAI,KITANGWA,KAMUNGINDU,KAMUNGINDU CENTRE DE SANTE,example,another_example
EQUATEURS,LILANGA BOBANGI,LOKOLO MOKO,LOKOLO MOKO CENTRE DE SANTE,example,another_example
SUD UBANGI,MAWUYA,MAWUYA CITE 2,MAWUYA CITE 2 CENTRE DE SANTE,example,another_example
TSHUAPA,BOENDE,LOKALI,LOKALI CENTRE DE SANTE,example,another_example
MONGALA,PIMU,BOMBALE,BOMBALE CENTRE DE SANTE,example,another_example
SUD UBANGI,KUNGU,KUNDU,KUNDU CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KIMVULA,KINGAMAKUNI,KINGAMAKUNI CENTRE DE SANTE,example,another_example
LUALABA,DILALA,RASTA,GLOIRE DU SAUVEUR CENTRE DE SANTE,example,another_example
SUD KIVU,MWENGA,COWE,COWE CENTRE DE SANTE,example,another_example
NORD KIVU,KIBUA,KIMUA,KIMUA CENTRE DE SANTE,example,another_example
MONGALA,YAMONGILI,YAMOMBENGA,YAMOMBENGA CENTRE DE SANTE,example,another_example
KINSHASA,BUMBU,DIPIYA,MAS MEDICAL CENTRE DE SANTE,example,another_example
KINSHASA,MONT NGAFULA 2,MAMBRE,NEW DIVINE CENTRE DE SANTE,example,another_example
BAS UELE,BUTA,MAKALA,MAKALA CENTRE DE SANTE,example,another_example
BAS UELE,AKETI,NGOMBO,NGOMBO CENTRE DE SANTE,example,another_example
SUD KIVU,MWANA,KALAMO LUDUHA,KALAMO LUDUHA CENTRE DE SANTE,example,another_example
KWILU,GUNGU,MUSEMVU,MUSEMVU CENTRE DE SANTE,example,another_example
KASAI CENTRAL,BENA LEKA,TSHINANGA,TSHINANGA CENTRE DE SANTE,example,another_example
KWANGO,KIMBAO,MUKUTU,MUKUTU CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,OMENDJADI,LOPETO,LOPETO CENTRE DE SANTE,example,another_example
TANGANYIKA,KALEMIE,KIMENA,KIMENA CENTRE DE SANTE,example,another_example
HAUT KATANGA,TSHAMILEMBA,CAMP PREFABRIQUE,GOPHER CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KISANTU,YIMBI,YIMBI CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KINKONDJA,YOLO,YOLO CENTRE DE SANTE,example,another_example
HAUT KATANGA,KILWA,KYONA,KYONA CENTRE DE SANTE,example,another_example
KWILU,VANGA,PUTUBONGO,PUTUBONGO CENTRE DE SANTE,example,another_example
KASAI CENTRAL,BILOMBA,LUABALA,LUABALA CENTRE DE SANTE DE REFERENCE,example,another_example
KONGO CENTRAL,NZANZA,NZINGA LUTETE,ETAT NZINGA LUTETE CENTRE DE SANTE,example,another_example
HAUT UELE,FARADJE,CECA 20 TADU,CECA 20 TADU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAMINA,KATUBA 1,KATUBA 1 CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAPOLOWE,KONI 1,KONI CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,MUYA,NKUMBI KUMBI,GOSHEN CENTRE HOSPITALIER,example,another_example
NORD KIVU,LUBERO,KAVETYA,KAVETYA CENTRE DE SANTE,example,another_example
HAUT UELE,BOMA MANGBETU,BOMA MANGBETU,BOMA MANGBETU CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KAYAMBA,KITOHA,KITOHA CENTRE DE SANTE,example,another_example
SUD UBANGI,MBAYA,MBELE,MBELE CENTRE DE SANTE,example,another_example
KINSHASA,KOKOLO,CI MIKONDO,CI MIKONDO POSTE DE SANTE,example,another_example
EQUATEURS,BOLOMBA,DJOA,DJOA CENTRE DE SANTE,example,another_example
KASAI CENTRAL,LUKONGA,MUKANYA NTOMBOLO,MUKANYA NTOMBOLO CENTRE DE SANTE,example,another_example
KWILU,KIKWIT SUD,INGA 2,INGA 2 CENTRE DE SANTE,example,another_example
HAUT LOMAMI,BAKA,NTOBO,NTOBO CENTRE DE SANTE,example,another_example
KINSHASA,KALAMU 2,YOLO NORD 2,DELMA CENTRE MEDICAL,example,another_example
HAUT UELE,MAKORO,NGILI,NGILI CENTRE DE SANTE,example,another_example
HAUT KATANGA,MUMBUNDA,PENGA PENGA,VICTOIRE CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,KABAMBE,KABAMBE CENTRE DE SANTE,example,another_example
KWILU,MOANZA,MUTUBU,MUTUBU CENTRE DE SANTE,example,another_example
LOMAMI,TSHOFA,KIBULU,KIBULU CENTRE DE SANTE,example,another_example
TSHUAPA,BEFALE,EKAFERA,EKAFERA CENTRE DE SANTE,example,another_example
TSHOPO,BASALI,YAMBOMBA,YAMBOMBA CENTRE DE SANTE,example,another_example
ITURI,AUNGBA,AUDHA,AUDHA CENTRE DE SANTE,example,another_example
HAUT UELE,WATSA,MOKU,MOKU CENTRE DE SANTE,example,another_example
MAINDOMBE,KIRI,EBANZA,EBANZA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KIMPANGU,NGONGO,NGONGO CENTRE DE SANTE,example,another_example
MAINDOMBE,BOLOBO,ENDALA,ENDALA CENTRE DE SANTE,example,another_example
NORD KIVU,GOMA,KESHERO,KESHERO CENTRE DE SANTE,example,another_example
KINSHASA,LIMETE,MOSOSO,MOSOSO CENTRE DE SANTE,example,another_example
MAINDOMBE,INONGO,WETI,WETI CENTRE DE SANTE,example,another_example
KASAI CENTRAL,DEMBA,MUKANYA KALAMBA,MUKANYA KALAMBA CENTRE DE SANTE,example,another_example
KASAI,DEKESE,DJONGO PORT,DJONGO PORT CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,DIKUNGU,OMEONGA,OMEONGA CENTRE DE SANTE,example,another_example
KWILU,KIKWIT SUD,TRENTE JUIN,30 JUIN CENTRE DE SANTE,example,another_example
SUD UBANGI,KUNGU,BOMENGE,BOMENGE CENTRE DE SANTE,example,another_example
SUD UBANGI,MAWUYA,KWALA,KWALA CENTRE DE SANTE,example,another_example
LOMAMI,KALONDA EST,KIPOKE,KIPOKE CENTRE DE SANTE,example,another_example
EQUATEURS,BASANKUSU,NSONGO NKOY,NSONGO NKOY CENTRE DE SANTE,example,another_example
MANIEMA,SAMBA,KAVUNGU,KAVUNGU CENTRE DE SANTE,example,another_example
KONGO CENTRAL,MBANZA NGUNGU,ATHENEE,ATHENEE CENTRE DE SANTE DE REFERENCE,example,another_example
SANKURU,TSHUMBE,TSHUMBE 1,TSHUMBE 1 CENTRE DE SANTE,example,another_example
KASAI CENTRAL,KALOMBA,TSHIBANDAMA,TSHIBANDAMA CENTRE DE SANTE,example,another_example
SUD KIVU,IDJWI,MAFULA,MAFULA CENTRE DE SANTE,example,another_example
LUALABA,MUTSHATSHA,MUTSHATSHA 2,MUTSHATSHA 2 CENTRE DE SANTE,example,another_example
LOMAMI,KAMANA,LUALABA NDABA,LUALABA NDABA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,KISANTU,KIMUISI,KIMUISI CENTRE DE SANTE DE REFERENCE,example,another_example
HAUT KATANGA,SAKANIA,KASUMBA LESA DOUANE,KASUMBALESA DOUANE CENTRE DE SANTE DE REFERENCE,example,another_example
LUALABA,FUNGURUME,DIPETA 2,NEEMA CENTRE DE SANTE,example,another_example
MANIEMA,LUBUTU,OKOKU,OKOKU CENTRE DE SANTE,example,another_example
KWANGO,KISANJI,MUKUNDU,MUKUNDU CENTRE DE SANTE,example,another_example
SUD KIVU,KABARE,CIRUNGA,CIRUNGA CENTRE DE SANTE,example,another_example
KASAI,MUTENA,TSHITANDE,TSHITENDE CENTRE DE SANTE,example,another_example
KWILU,GUNGU,GIZENGA,GIZENGA CENTRE DE SANTE,example,another_example
KWANGO,KISANJI,NGUNGI,NGUNGI CENTRE DE SANTE,example,another_example
MONGALA,BUMBA,GOSEN,KAWELE CENTRE DE SANTE,example,another_example
SUD KIVU,MINEMBWE,KALONGI,KALONGI CENTRE DE SANTE,example,another_example
MONGALA,BUMBA,MBINZA,MBINZA CENTRE DE SANTE,example,another_example
NORD KIVU,MUSIENENE,MABAMBI,MABAMBI CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,MUYA,SIONA,KALALA MUTOMBO CENTRE DE SANTE,example,another_example
HAUT KATANGA,KAMPEMBA,KAKOMPE,BUISSON ARDENT CENTRE DE SANTE,example,another_example
KWILU,MASI MANIMBA,LUMBI,LUMBI CENTRE DE SANTE,example,another_example
TSHOPO,LOWA,BAMBAY,BAMBAY CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,KABANDA,KABANDA CENTRE DE SANTE,example,another_example
SUD KIVU,IDJWI,LEMERA IDJWI,LEMERA IDJWI CENTRE DE SANTE,example,another_example
KASAI,NDJOKO MPUNDA,KAPATA,MBELENGA POSTE DE SANTE,example,another_example
BAS UELE,AKETI,BONZENGO,BONZENGO CENTRE DE SANTE,example,another_example
KASAI CENTRAL,MASUIKA,MUTENGENYI,MASAKA POSTE DE SANTE,example,another_example
TSHUAPA,MONDOMBE,YOLONGA 2,YOLONGA 2 CENTRE DE SANTE,example,another_example
HAUT UELE,ABA,NYARI,NYARI CENTRE DE SANTE,example,another_example
KWANGO,KIMBAO,KIPABU,KIPABU CENTRE DE SANTE,example,another_example
EQUATEURS,BIKORO,MAANGA,MAANGA CENTRE DE SANTE DE REFERENCE,example,another_example
KINSHASA,GOMBE,GARE,CMK HOPITAL,example,another_example
HAUT KATANGA,KAMPEMBA,SAINT JOSEPH,ORNELA CENTRE DE SANTE,example,another_example
LUALABA,KALAMBA,KALAMBA,MUDEND CENTRE DE SANTE,example,another_example
LOMAMI,KAMANA,KIMAMBUE,KIMAMBUE CENTRE DE SANTE,example,another_example
TSHOPO,YABAONDO,YABOLONGA,YABOLONGA CENTRE DE SANTE,example,another_example
SUD UBANGI,TANDALA,BONGBIA TAWE,BONGBIA TAWE CENTRE DE SANTE,example,another_example
NORD KIVU,KALUNGUTA,KIVETYA,KIVETYA CENTRE DE SANTE,example,another_example
HAUT LOMAMI,KABONDO DIANDA,MULENDA,KYABU 3 POSTE DE SANTE,example,another_example
KINSHASA,KINGASANI,KINGASANI,KINGASANI HOPITAL GENERAL DE REFERENCE,example,another_example
KINSHASA,KINGABWA,MBAMU,LOBO CENTRE DE SANTE,example,another_example
TSHUAPA,MONDOMBE,M CMONDOMBE,M CMONDOMBE CENTRE DE SANTE,example,another_example
MANIEMA,KIBOMBO,BILUNDU,BILUNDU CENTRE DE SANTE DE REFERENCE,example,another_example
MAINDOMBE,OSHWE,EKWAYOLO,EKWAYOLO CENTRE DE SANTE,example,another_example
SUD UBANGI,BOKONZI,MBENDERE,BENDERE CENTRE DE SANTE,example,another_example
MAINDOMBE,MUSHIE,BOSIKI,BOSIKI CENTRE DE SANTE,example,another_example
ITURI,BAMBU,NYARADA,NYARADA CENTRE DE SANTE,example,another_example
TSHOPO,BASOKO,LOKUMETE,LOKUMETE CENTRE DE SANTE,example,another_example
NORD KIVU,LUBERO,KASUGHO,KASUGHO CENTRE DE SANTE,example,another_example
KWILU,KINGANDU,KIZUNGU NZADI,KIZUNGU NZADI CENTRE DE SANTE,example,another_example
LUALABA,KALAMBA,RONY,RONY CENTRE DE SANTE,example,another_example
KWANGO,PANZI,KIBUNDA 1,KIBUNDA 1 CENTRE DE SANTE,example,another_example
KASAI ORIENTAL,TSHILENGE,BA KALOMBO,BENA KALOMBO CENTRE DE SANTE,example,another_example
MANIEMA,KALIMA,KAGOLOMBA,KAGOLOMBA CENTRE DE SANTE,example,another_example
LOMAMI,KALENDA,LUBAMBALA,LUBAMBALA CENTRE DE SANTE,example,another_example
NORD UBANGI,BILI,KONGO,KONGO CENTRE DE SANTE,example,another_example
HAUT KATANGA,MITWABA,MUBIDI,KANSOWE POSTE DE SANTE,example,another_example
ITURI,LAYBO,APARI,APARI CENTRE DE SANTE,example,another_example
MONGALA,BONGANDANGA,IYEFE,IYEFE CENTRE DE SANTE,example,another_example
KWILU,KINGANDU,KATENDA,KATENDA CENTRE DE SANTE DE REFERENCE,example,another_example
KASAI,MWEKA,LUBANGA,LUBANGA CENTRE DE SANTE,example,another_example
KONGO CENTRAL,NGIDINGA,KINDUNDU,KINDUNDU CENTRE DE SANTE,example,another_example
MANIEMA,SARAMABILA,MATETE,MATETE CENTRE DE SANTE,example,another_example
KINSHASA,LINGWALA,TRENTE JUIN,LADY CENTRE MEDICAL,example,another_example
MANIEMA,PUNIA,PUNIA 2,PUNIA 2 CENTRE DE SANTE,example,another_example
HAUT KATANGA,LUBUMBASHI,KIWELE,LUBUMBASHI CLINIQUES UNIVERSITAIRES,example,another_example
KINSHASA,KISENSO,REVOLUTION,REVOLUTION CENTRE HOSPITALIER,example,another_example
SUD UBANGI,BOKONZI,KOMBE,KOMBE CENTRE DE SANTE,example,another_example
NORD UBANGI,LOKO,BODANGABO,BODANGABO CENTRE DE SANTE,example,another_example
